forme_erronée,forme_correcte
imaginalion,imagination
IMcrofole,l’Acropole
iMeistersignaturen,Meistersignaturen
Imhoof-Blûraer,Imhoof-Blümer
îmngc,image
Impi,Lupi
imporlante,importante
imporlantes;les,importantes ; les
importo,importe
IMPRIMERIB,IMPRIMERIE
Ims-i'clicf,Bas-relief
iN'ous,Nous
in(|uiétaient,inquiétaient
in(li(|iie,indique
in^gal,inégal
inameuvrer,maneuvrer
incerlilnde,incertitude
incerlilndes,incertitudes
incoménienls,inconvénients
independamment,Indépendamment
indiflFérence,indifférence
Ini,lui répondis-je
Ini|ir,Impr
iniagiers,imagiers
inicrprèles,interprètes
iniluence,influence
Inire,faire
inlcrmédiaire,intermédiaire
inléres-sant,intéressant
inléressjmles,intéressantes
inlerprélanl,interprétant
inlluencer,influencer
inlluent»,influence
inlroduisirenl-ils,introduisirent-ils
inonuincnls,monuments
inouvemenl,mouvement
Inqnelle,laquelle
Inscnptions,Inscriptions
inscrip-lions,inscriptions
inscriprions,inscriptions
insérail,insérait
insigiiia,insigna
Insl,Inst
inslanlanémeuf,instantanément
INTRODUGTiON,INTRODUCTION
Inutilé,Inutile
inutilé,inutile
inutilé,,inutile,
inutilé1,inutile1
inutilé2,inutile2
inveulécs,inventées
invoqu6,invoqué
ioue,loue
iour,jour
IOUR,jour
Iour,jour
ioUr,jour
ipie,que
ipii,qui
Irailéi',traitée
irendre,gendre
Iribord,tribord
Iributet,tribut et
Irièrc,trière
Irièrcs,trières
Irière,trière
Irière,,trière,
Irière.,trière.
Irières,trières
Iriomphant,triomphant
Irniivc,trouve
Irnp,trop
Irop,trop
Irouvaille,trouvaille
iStils,Stils
Itayel,Rayet
Itcinach,Reinach
Itenard,Renard
Itou,Rev
IVagmenl,fragment
IVagmenls,fragments
IVappail,frappait
iVAthéna,d’Athéna
IVpoqnc,l’époque
Ix'iIiiticn(,bâtiment
J'afel,Tafel
J'yrenonce,J'y renonce
j’enlrepris,j’entrepris
j)as,pas
J)e,De
j)r<)veiiant,provenant
j)résent,présent
j)resscnt,pressent
j)ublic,public
Ja|ion,Japon
jai,j’ai
jdus,plus
Jého\ ah,Jéhovah
jialais,palais
jiarade,parade
JiÉSUMÉES,RÉSUMÉES
Jiludes,Études
jioinl,point
jioint,point
jionsée,pensée
jirovenaienl,provenaient
jkmiiiis,permis
Jlfycènes,Mycènes
jmur,pour
jtremier,premier
jue,que
jui,qui
Jui-mème!,Lui-même!
jui!let).,juillet).
Julcs,Jules
jus(|u'au,jusqu’au
jusi|u,jusqu
jusiiu'en,jusqu’en
juslemenl,justement
jusles,justes
jusqu'ù,jusqu’à
Jusqulci,Jusqu’ici
justilié,justifié
KDMOND,EDMOND
Keinach,Reinach
Keitende,Reitende
Kf'kulé,Kekulé
kilomètrcs,kilomètres
Klcusis,Éleusis
Klle,Elle
Knôclielspitl,Knöchelspiel
Knùcltelspielerin,Knöchelspielerin
KoERTE,Koerte
KöjitV,Köpfe
Komains,Romains
Komödien-Sceuen,Komödien-Scenen
Komödien-Sceuen,,Komödien-Scenen,
Krausc,Krause
Ksl,Est
KT,ET
Kuirre,suivre
Kxlrail,Extrait
Kxtrait,Extrait
l,e.s,les
l.aliyrintlie,labyrinthe
l'.Vngleterre,l’Angleterre
L'A HT,L’ART
l'acilonienl,facilement
l'AI'riiiue,l’Afrique
l'aRCHÉOLOGIE,L'ARCHÉOLOGIE
l'archéolosTie,l’archéologie
l'arclionlal,l’archontat
l'arlislc,l’artiste
l'arlisle,l’artiste
l'arlislo,l’artiste
l'arrhileclure,l’architecture
l'arrôt,l’arrêt
l'Assemldée,l’Assemblée
l'assijcier,l’associer
l'atlmie,l’atimie
l'aulre,l’autre
l'ausan,Pausan
l'avanl,l’avant
l'axez,l’avez
L'blgypte,L’Égypte
l'cmporlenl,l’emportent
L'dtude,L’étude
l'e.xactitude,l'exactitude
l'éâlise,l’église
L'ÉCOLB,L’ÉCOLE
L'ÉCOLK,L’ÉCOLE
l'Ecolo,l’École
l'édilice,l’édifice
L'Ëgypt«,L’Égypte
l'Ëirurie,l’Étrurie
l'élatde,l’état de
l'èmaïlleric,l’émaillerie
l'énormilé,l’énormité
l'esl,l’est
l'etforl,l’effort
l'Euphrale,l'Euphrate
l'extréinité,l’extrémité
L'hislnire,L’histoire
l'i-lection,l’élection
l'i'au,l’eau
l'iance,France
l'iiiscriplioii,l’inscription
l'Iionncur,l’honneur
l'iionnue,l’homme
l'iïuropc,l’Europe
l'im,l’on
l'imaginalion,l’imagination
l'in« térieur,l’intérieur
l'inlroduclion,l’introduction
l'innuence,l’influence
l'inscriplion,l’inscription
l'intiniitt',l’intimité
L'invalidequi,L'invalide qui
l'invenlion,l’invention
l'iuscriplion,l’inscription
L'lNSTn U T,L’INSTITUT
l'oirensé,l’offensé
l'onuo,formes
l'orl,fort
l'OTTIlil!,POTTIER
l'rnicipaux,Principaux
l'rofinzen,Provinzen
l’admet- tre.,l’admettre
l’aftluence,l’affluence
l’amphithéâ- tre,l’amphithéâtre
l’an tre,l’antre
l’arlicle,l’article
L’au- tre,L’autre
l’au-tre,l’autre
l’aulre,l’autre
l’encon.tre,l’encontre
l’épo.jue,l’époque
l’esl,l’est
l’Euiope,l’Europe
l’eut-ètre,peut-être
l’Hécalompûdon,l’Hécatompédon
l’imaginalion,l’imagination
l’Ksl,l’Est
l’nne,l’une
l’our,pour
l’ozzo,Pozzo
l’rag-mcnl,fragment
l('S,les
l('s,les
L(ju\ie,Louvre
l)clle,belle
l)i|iy|on,Dipylon
l*art,l’art
l<'s,les
la(|uell(',laquelle
labyrintlies,labyrinthes
lace,face
lacédémonicnne*,lacédémonienne
Laco• nie.,Laconie.
Laelilia,Laetitia
lai|uelle,laquelle
lail,lait
lainc!,laine
lairc,faire
laisail,faisait
laissd,laissé
laisse)',laisser
lAIusée,Musée
lalin,latin
lalinc,latine
lamiliers,familiers
langnissail,languissait
lantûl,tantôt
laPhénicie,la Phénicie
lapjielait,rappelait
lapolychromie,la polychromie
lar<^eur,largeur
larpiltcurs,harpilleurs
lasculpt,la sculpt
Latiimi,Latium
LÂTIUM,LATIUM
laulôl,tantôt
lautre,l’autre
LB8,LES
LBft,LES
Lcfuel,Lefuel
Lcipzifi,Leipzig
Lclronne,Letronne
Lcmailrc,Lemaitre
Lcmaîlrc,Lemaitre
Lcmallre,Lemaitre
Lcmatlre,Lemaitre
lcrminé,terminé
le»,les
LE\PLICATI05,L’EXPLICATION
le$,les
lectcars,lecteurs
lécylhes,lécythes
ledémotiquc),le démotique)
ledeurs,lecteurs
legataire,légataire
lege,loge
Lege,loge
leger,léger
Leger,léger
legères,légères
leges,loges
Leges,Loges
legis,logis
Legis,logis
legislateur,législateur
LEGISLATION,législation
legislation,législation
lei/rs,leurs
lein,loin
leinle,teinte
leLatium,le Latium
lèle,tête
Lemailre,Lemaitre
lemple,temple
leng,long
lengue,longue
lequelseplongeait,lequel se plongeait
ler,1er
leR,1er
Ler,1er
lEr,1er
lER,1er
Léramique,Céramique
leRd,lord
lerenconlre,le rencontre
lerrasse,terrasse
lerrasse,,terrasse,
lerrasse.,terrasse.
lés,les
les<,les
Lescoins,Les coins
lesproDiers,les premiers
let.tre,lettre
lets,lots
Lets,lots
letTain,terrain
leuer,lever
leups,loups
lexle,texte
LEXPLICATION,L’EXPLICATION
li'oupeaux,troupeaux
liàle,hâte
liàler,hâter
lialiilant,habitant
liasardenl,hasardent
LiBBAimii,Librairie
Libnlr*,Librairie
LIBRAIRES-ÉDITEUKS,LIBRAIRES-ÉDITEURS
libremenl,librement
licviie,Revue
lidélilé,fidélité
lielléni(pie,hellénique
liellénisti(jue,,hellénistique,
lienl,tient
lieuzey,Heuzey
lig,fig
liguies,figures
ligure,figure
liguré,figuré
ligures,figures
ligurés,figurés
ligures,,figures,
ligures.,figures.
lihre,libre
liie,lire
liien,bien
liier,hier
liiiïre,chiffre
liiilletin,Bulletin
liion,Ilion
liion.,Ilion.
liisloire,histoire
liislorique,historique
liivre,livre
liles,files
lilli|tuli(ms,lilliputiens
lilre,titre
LilTIUBf,LATIUM
lïoekli,Böckh
liommes,hommes
lionune,homme
liorizoutalement,horizontalement
LIOUB,LIGUE
lirebis-'*,brebis
liremiers,premiers
Litcralurzeilwnj,Literaturzeitung
littéraii'es,littéraires
liture,figure
liunniin,humain
livi('s,livrés
livranl,livrant
lixer,fixer
ljgnl,juge
llarqoardt,Marquardt
llcuzcï,Heuzey
llenaissance,Renaissance
llérou,Héron
lleydemann,Heydemann
lliéromnémon?,Hiéromnémons
lliisl,Hist
llirschfchl,Hirschfeld
lln*anilcs,thranites
Lnpi,Lupi
Loi’S(|iic,Lorsque
loisii',loisir
loit,toit
Lolles-ci,Celles-ci
lomlies,tombes
lomps,temps
longilu-dinal,longitudinal
longte!.::ps,longtemps
lonie,Ionie
lorl,fort
lors(jue,lorsque
lorscalculer,lors calculer
lorsqueMaximus,lorsque Maximus
Louis-Napoleon,Louis-Napoléon
loul,tout
loule,toute
loules,toutes
lroj►,trop
ltaoul,Raoul
LTne,Une
lui-niénie,Lui-même
lui-niOiiiu,Lui-même
luibitanL,habitant
luirépondis-je,lui répondis-je
luissunl,laissant
lumi neu.r,lumineux
lumi^re,lumière
lun,l’un
lunenbild,Innenbild
lutine,latine
luul,tout
Lysicrale,Lysicrate
lYul-èlre,peut-être
m-onde,monde
m'écouteavec,m’écoute avec
m^m6,même
m^me,même
m^mes,mêmes
m^thode,méthode
m6me,même
Ma//asin,Magasin
magnifiepie,magnifique
maî- tre,maître
maî- tre.,maître.
maî- tres,maîtres
maî.tre,maître
maîLi'es,maîtres
mainlcnanl,maintenant
mainlenanl,maintenant
mala- die,maladie
mala- dies,maladies
mala- dresse,maladresse
mala- dresses,maladresses
mala- droit.,maladroit.
mala- droite,maladroite
mala- droite»,,maladroite»,
mala- droits,maladroits
malin»,marine
manids,maniés
manièire,manière
maniil'acUirys,manufactures
manoeuvres,manœuvres
Manoeuvres,manœuvres
mar/istra/s,magistrats
marchd,marché
Marjusin,Magasin
masquos,masques
matdriaux,matériaux
mati^re,matière
matit^res,matières
mdtallique,métallique
mdthodique,méthodique
méconnaî- tre,méconnaître
Meiek,Meier
melanges,mélanges
mêléde,mêlé de
melfaif,mettait
mélhode,méthode
mélliode,méthode
mellre,mettre
mème,même
menlalemenl,mentalement
menlionnée,mentionnée
mentioimés,mentionnés
met- tre,mettre
méthodiquemjent,méthodiquement
Méthodiquemjent;,.,Méthodiquement;,.
métiei',métier
métiiodes,méthodes
métliodiquc,méthodique
mêtre,mètre
mêtres,mètres
meur- tre”?,meurtre”?
MfEUns,MOEURS
MIle,Mlle
MIle,Mlle
MILE T,MILET
MILE’T,MILET
milien,milieu
Minolaure,Minotaure
Minolaure'',Minotaure
Minotaurequi,Minotaure qui
Mist,Hist
Mittheilungeriy,Mittheilungen
mklanges,mélanges
Mn'ja^iit,Magasin
mnis,mais
mnnière,manière
mnrche,marche
mo-dilicaLions,modifications
MO.N.NAIES,MONNAIES
moded'exis-,mode d'exis-
modei*ne,moderne
modem,modern
Modem,Modern
modem,,modern,
modifi^,modifié
modilicalions,modifications
moditications,modifications
Moffasin,Magasin
moilié,moitié
Môme,Même
mon tre,montre
mon- tre,montre
monn'ul,moment
mont^,monté
Mot/en,Moyen
mou- rir,mourir
moulons,moutons
mSCUTËES,DISCUTÉES
mslrimienl,instrument
MTGËNES,MYCÈNES
muiiicipé,municipe
Mûller,Müller
MUSEE,MUSÉE
Musi'c,Musée
mutlmiaasslich,muthmaasslich
MùUer,Müller
Mycèwes,Mycènes
mytholo(jue,mythologique
N illofossc,Villefosse
n':»lisant,réalisant
n'aimail,n’aimait
n'écbapjie,n’échappe
n'es!,n’est
n'nblienl,n’obtient
n'opt,n’ont
n’avaient,n’avaient
n’avail,n’avait
n’esl,n’est
n*a-t-elle,n’a-t-elle
n*est,n’est
n0tre,notre
nailre,naitre
nArrORTK.NT,RAPPORTENT
navetie,navette
navigalion,navigation
navigalions,navigations
nécessairemon!,nécessairement
nécetsile,nécessite
néecssaircnuml,nécessairement
néeessilé,nécessité
nellcmcul,nettement
nementionne,ne mentionne
NEUVltME,NEUVIÈME
niailu'iireiiseinenl,malheureusement
nialhémaliquemenl,mathématiquement
niameuvres,maneuvres
niatiôres,matières
niélliode,méthode
nietf/e,mettre
niilieu,milieu
Nikostheues,Nikosthenes
nionunirnl,monument
nipporl,rapport
niythologiiiuci,mythologiques
nlains,mains
nne,une
nnvires,navires
no- tre,notre
nô- tre,nôtre
noihades,nomades
noir<itre,noirâtre
noiresindiquent,noires indiquent
nolalde,notable
nom.méedans,nommée dans
nombreu.i,nombreux
nonssavons,nous savons
noo,non
nord-esl,Nord-est
nosjours,nos jours
nour- rir,nourrir
nourriluru,nourriture
nourrissaitde,nourrissait de
nricnlnle,orientale
nrlail,n’était
nu'-lhodd,méthode
nu'il,qu’il
nu)indre,moindre
nulres,autres
nvnil,avait
nVs(,n’est
O'esl,C’est
o[)j)osition,opposition
oà,où
Oà,Où
OB,DE
ocru|>rr,occuper
œiivre,œuvre
œjgypte,égypte
œjpigrammes,épigrammes
œmischen,rœmischen
œnoché,œnochoé
œnochés,œnochoés
œnochoée,œnochoés
œnochoès,œnochoés
œnochoës,œnochoés
œnochré,œnochoé
œoochoé,œnochoé
œovres,œuvres
œsierreichen,œsterreichen
œslerreich,œsterreich
œstehreichischen,œsterreichischen
œsteireich,œsterreich
œstereichischen,œsterreichischen
œsterreichischunjarischen,œsterreichischungarischen
œsterreicli,œsterreich
œsterreidi,œsterreich
œuochoé,œnochoé
œuphronios,euphronios
œuvrc,œuvre
œuvrcs,œuvres
œuvrè,œuvre
œuvrea,œuvres
œuvri,œuvre
œuvro,œuvre
œuvte,œuvre
œuyre,œuvre
ofancient,of ancient
offensd,offensé
ofi'ensiî,offense
ofi”rir,offrir
ofl’rir,offrir
ofl*rir,offrir
oflcrte,offerte
ofpé,olpé
oh,où
ohscrvé,observé
oht,ont
ohtenu,obtenu
oi'dre,ordre
oii,où
oiî,où
oîi,où
oil,où
oirse,on se
oITerts,offerts
ôlé,été
oll'raiides,offrandes
oll'randes,offrandes
oll’rir,offrir
ollre,offre
OLTMPIB,OLYMPIE
Oniont,Omont
OR^CB,GRÈCE
ORàCB,GRÈCE
ORfcCB,GRÈCE
ori^nes,origines
oriental ion,orientation
orientalisclien,orientalischen
origioes,origines
orionlée,orientée
Orleans,Orléans
oti,où
ou- tre,outre
OUI,QUI
oùl'on,où l'on
Ouoi,Quoi
ouvertun^,ouverture
ouvi-iers,ouvriers
ouvraf>e,ouvrage
p/i/s,plus
p^riode,période
p<*ut-^tre,peut-être
Pa rmi,Parmi
PAÉNBSTB,PRÉNESTE
pai'liculier,particulier
pai*ticulier,particulier
paijs,pays
Palal,Palat
Paleslrina,Palestrina
palmettc,palmette
Paplios,Paphos
paraî- tre,paraître
paraî- tre,,paraître,
paraisscnl,paraissent
Parchitecture;,l’architecture;
parcou- rir,parcourir
parlailemenl,parfaitement
parlailemenl,,parfaitement,
parlailemenl.,parfaitement.
parles,par les
parlesmots,par les mots
parlic,partie
parliciilièrcs,particulières
parlie,partie
parta»,parta-
parvinl,parvint
pass<ftnt,passant
PBfËFA€E,PRÉFACE
pcnl,peut
pdriodes,périodes
pefit,petit
pein- tre,peintre
pelile,petite
peliles,petites
Pentéliqueéblouissants,Pentélique éblouissants
perfeclionnenl,perfectionnent
perfedioimemcnls,perfectionnements
Pergfamon,Pergamon
Pergume,Pergame
perinellaionl,permettaient
permel,permet
permellenl,permettent
permelli'a,permettra
permet- tre,permettre
perspeelivc,perspective
petite-fiUe,petite-fille
peu!,Peut-être
peul,peut-être
peut-('tre,peut-être
peut-^tre,peut-être
Peut-^tre,Peut-être
Peut-ètre,Peut-être
peut-ètre,peut-être
peut-ètre,,peut-être,
peut-iilre,Peut-être
peut-ôtre,peut-être
peut-t^tre,peut-être
peutêtre,peut-être
Peutêtre,peut-être
peuvonl,peuvent
PHÉNBSTE,PRÉNESTE
Philoloijtis,Philologus
Phimation,l’himation
photot ijpiques,phototypiques
physi(jue,physique
piemlro,prendre
pifloî-esr/ue,pittoresque
PIGURES,FIGURES
piltoresque,pittoresque
Pima-,l’ima-
piralcrie,piraterie
pitfurcsfjiir,pittoresque
pl&lre,plâtre
pl&tre,plâtre
plà. tre,plâtre
plâ. tre,plâtre
pla”tre,plâtre
plal-bord,plat-bord
pmir,pour
pmsseiit,puissent
pn-voyait,prévoyait
pninl,point
pnr,par
pnrailrc,paraitre
pnrl,part
pnrlout,partout
po^te,poète
poëte,poète
Poëte,poète
poiiik,point
poinl,point
poinles,pointes
poinls,points
poirine,poitrine
POL^CH?,Q-«lt,POLYCHROME
polenfiique,polémique
polerie,poterie
polycléte,polyclète
Pont-Audemerl,Pont-Audemer
porliipie,portique
PORMES,FORMES
portiqu(;,portique;
posle,poste
posséde,possédé
pOt,pût
Potlicr,Pottier
pou,pour
PoUI,Polit
pourofl’rir,pour offrir
pouvonsnous,pouvons nous
pr^-,pré-
pr^s,près
pr^sente,présente
prAte,prète
prdjugd,préjugé
prdoccupe,préoccupe
prdsidaient,présidaient
prdvaloir,prévaloir
prê- tre,prêtre
pre/niè/e,première
précéde,précède
prédecesseurs,prédécesseur
préhelléniqucs,préhelléniques
prélace,préface
prémalurées,prématurées
PRÉNE8TE,PRÉNESTE
PRÉNESTB,PRÉNESTE
PRÉNESTË,PRÉNESTE
préseixter,présenter
présenle,présente
présenleiil,présentent
présenlnicnl,présentaient
presgue,presque
PRfNESTE,PRÉNESTE
pril,prit
primilivc,primitive
primitifsoudontle,primitifs ou dont le
princU «pale,,principale,
PRINTS,PEINTS
priricipe,principe
PRitlFAGB,PRÉFACE
privil^gides,privilégiées
privildgi^,privilégié
prn-porlions,proportions
pro<^rès,progrès
probl^me,problème
proceRsut,processus
procèsverbal,procès-verbal
Procèsverbal,Procès-verbal
PROCÈSVERBAL,procès-verbal
proci'dé,procédé
profon(leur-,profondeur-
profoode,profonde
progr^s,progrès
proljable,probable
proposions,proportions
prosession,profession
prosit,profit
prosonde,profonde
PROVEiNAiNT,PROVENANT
publi(jue,publique
publicalion,publication
publides,publiées
puis({ue,puisque
puisgue,puisque
PVéSACR,PRÉFACE
qiie,que
qiielijiics-iins,quelques-uns
qiwlques,quelques
qlre,que
qneslion,question
qneslions,questions
qu''l,qu’il
qu’i'lle,qu’elle
qua- tre,quatre
qualitd,qualité
quality,qualité
Qualremcre,Quatremère
quarantedeux,quarante deux
quc,que
quel(|ue,quelque
quel(|ues,quelques
queles,que les
Queles,Que les
queli|ue,quelque
queljue,quelque
quelq|D6s,quelques
queslion,question
Quicheral,Quicherat
Quïdc,Quincy
QUINZltME,QUINZIÈME
qula,quia
r(!production,reproduction
r/iisfoire,l’histoire
r^ponse,réponse
raflinemenls,raffinements
rafTmerie,raffinerie
raitétéd'undixième,rait été d'un dixième
rale/itie,ralentie
rallaehenl,rattachent
rang]',range
rantiquité,l’antiquité
rapidilé,rapidité
Rappoit,Rapport
rapprociie,rapproche
rar,par
rarchitecture,l’architecture
rarmée,l’armée
rattachenl,rattachent
Rauteur,Hauteur
rcmarqué,remarqué
rcnsemble,ensemble
rcntreprise,l’entreprise
rcnvXiyer,renvoyer
rcproduilcs,reproduites
rcslilulion,restitution
rdalitd,réalité
rdcemment,récemment
rdpartie,répartie
rdsolu,résolu
rdvolte,révolte
ré« pondre,répondre
re\cnn,revenu
reclier-,recher-
recomiail,reconnait
réconlortanl,réconfortant
reconnaî- tre,reconnaître
reconsliluer,reconstituer
recou- rir,recourir
recrutaientprincipalement,recrutaient principalement
rédilice,l’édifice
réflechir,réfléchir
réfugiaiI,réfugiait
régalité,l’égalité
regies,règles
régle,réglé
Régles,Règles
regne,règne
regreltable,regrettable
régulièrt!,régulière
rehaussdes,rehaussées
reijretté,regretté
réintégrande,réintégrante
Réintégrande,réintégrante
rélablir,rétablir
relatirs,relatifs
rélhblir,rétablir
reli'ou\er,retrouver
Relieffragmeut,Relieffragment
reliet,relief
relournai,retournai
rem|)laçait,remplaçait
remerci ments,remerciements
rempliraienlpas,rempliraient pas
remporlée,remportée
Renais'sance,Renaissance
rencon- tre,rencontre
rénmnération,rémunération
renseignemcnls,renseignements
renthousiasnie,l’enthousiasme
répli(jue,réplique
representee,représentée
reproduclion,reproduction
reproduils,reproduits
res[)éiance,espérance
resfc,reste
resj)rit,l’esprit
reslc,reste
resle,reste
reslilnlinn,restitution
reslilnlion,restitution
ressortdu,ressort du
restd,resté
resuit,result
reté,roté
retpivent,reçoivent
rEtriirie,l’Étrurie
reu$ement,reusement
rev^tu,revêtu
reveskus,revenus
revôtue,revêtue
rhaf/rin,chagrin
rhistoire,l”histoire
rhumanité,l’humanité
ri'est,n’est
ri'llrurie,l’Étrurie
rijivirc,navire
rimjiorlance,l’importance
rimpression,l’impression
rinjprinieui',l’imprimerie
rinlluence,l’influence
rinsuffisance,l’insuffisance
rir.cendic,l’incendie
rjui,qui
rlans,dans
rllr,elle
rmllenient,nullement
rn,en
RN,EN
rnisonncinenl,raisonnement
rnlrainer,entrainer
rnpproclier,rapprocher
ro chers,rochers
rô|é,côté
roisième,troisième
Rom*,Rome
ron,l’on
ronslruelions,constructions
Rotiiscliild,Rothschild
rouutiue,romaine
rsl,est
rst,est
rUniversité,l’Université
s'adjoigtiit,s’adjoignit
s'appli([ucrait,s’appliquerait
s'appuvenl,s’appuyent
s'csl,s’est
s'élaldit,s’établit
s'enfermei-,s’enfermer
s'enl^vent,s’enlèvent
s'i'-tait,s’était
s'iissocie,s’associe
s'im'tiail,s’initiait
s'occupail,s’occupait
s’alta(jue,s’attaque
s’oll’rir,s’offrir
s"a|)piiquait,s’appliquait
s(îs,ses
s*agir,s’agir
s*écoule,s’écoule
s*être,s’être
s^in,soin
s^rie,série
S0C1I<:TÉ,SOCIÉTÉ
sa-nglanls,sanglants
Sa^lio,Saglio
Sace,Face
sace,face
Saces,faces
saces,faces
sacrisier,sacrifier
Saigon,Saïgon
SAIGON,Saïgon
sail,sait
saim,faim
Saim,faim
SainteConstance,Sainte Constance
sair,fair
Saite,faite
salaireque,salaire que
Salaminc,Salamine
salislait,satisfait
sar,sur
sarcophajre,sarcophage
Sarkopliage,Sarkophage
Satisfaction,satisfaction
Satisfaire,satisfaire
sausse,fausse
Sausses,fausses
sausses,fausses
Saux,faux
sav oir,savoir
savantmemlre,savant membre
SB,SE
sbnt,sont
sc,se
scalpteur,sculpteur
scep- tre,sceptre
Sceuen,Scenen
Schlicmann,Schliemann
scienlifiipie,scientifique
scienliliquc,scientifique
scienliliquc,,scientifique,
scienliliquc.,scientifique.
ScUiemann,Schliemann
sculcmcnl,seulement
sculptdes,sculptées
scventifiques^,scientifiques
Sdinonte,Sélinonte
Sdlinonte,Sélinonte
Seinc-ct-Oise,Seine-et-Oise
semboiteut,s’emboitent
semhic,semble
semlde,semble
senlail,sentait
seoiets,secrets
seplembre),septembre)
Septinie,Septime
sér.»e,série
serai!,serait
serrd,serré
Sesorigines,Ses origines
seuleniful,seulement
seulplcr,sculpter
sevaiL,serait
si·pul« craies,sépulcrales
Si/rie,Syrie
si^clCj,siècle
si^cle,siècle
Siége,Siège
siers,fiers
sigiial^es,signalées
signilicalif,significatif
siiccessivemenl,successivement
siiceédrtienl,succédaient
Siiditalien,Süditalien
SILLE,fille
Sille,fille
silles,filles
Silles,filles
silliouette,silhouette
sillomuiicul,sillonaient
silué,situé
siml,seul
Sine,sine
sines,fines
Sini,fini
sini,fini
sinit,finit
sirent,firent
siurait,saurait
sla-luaire,statuaire
slabililé,stabilité
slabililé,,stabilité,
slabililé.,stabilité.
slahiae,statuae
slriidurc,structure
slructui-e,structure
Sml-Ksl,Sud-Est
snflisanimenl,suffisamment
snns,sans
soele,socle
Soele,Socle
soienl,soient
soii',soir
soiivenl,souvent
soil,soit
soil,,soit,
soixantedouze,soixante douze
solidilé,solidité
solidilé,,solidité,
solidilé.,solidité.
son!,sont
sond,fond
soni,sont
sonl,sont
sonL,sont
soulèse,soulève
soulfrances,souffrances
soull’rir,souffrir
souvenl,souvent
speclaleurs,spectateurs
squViuux,spéciaux
STATUBH,STATUES
Stephan!,Stephani
stijle,style
Strange,étrange
STTLE,STYLE
subsliluc,substitue
suc cède,succède
suc- cédané,succédané
suc- cédé,succédé
suc- céder,succéder
suc- cès,succès
suc- cès,,succès,
suc- cès.,succès.
suc- cesseur,successeur
suc- cesseurs,successeurs
suc- cesseurs,,successeurs,
suc- cesseurs.,successeurs.
suc- cessif.,successif,
suc- cessifs,successifs
suc- cession,succession
suc- cessions,successions
suc- cessions,,successions,
suc- cessivement,successivement
suc- cessives,successives
suc- cessives,,successives,
suc- cessivos,successives
suc- comba,succomba
suc- combe,succombe
suc- combé,succombé
suc- comber,succomber
suc- comber,,succomber,
suc. cesseur,successeur
Sud-Ksl,Sud-Est
sueoossivomonl,successivement
suffi.sanle,suffisante
suflisanle,suffisante
suflisatile,suffisante
sui-veiller,surveiller
SUIETS,SUJETS
suile,suite
SUPÉRIBURB,SUPÉRIEURE
superposilion,superposition
suppleer,suppléer
supposilion,supposition
surloii!,surtout
surlou!,surtout
surloutcomme,surtout comme
surtMit,surtout
surtoul,surtout
surtoutà,surtout à
survien/lent,surviennent
svslèine,système
svslème,système
symboli<jue.,symbolique.
sympatliie,sympathie
syslème,système
syslènies,systèmes
syslènu1,système
t'phémères,éphémères
t(uir,tour
T^clat,l’éclat
t^moin,témoin
t^tes,têtes
TAcadémie,l’Académie
TAcropole,l’Acropole
TAcropole,l’Acropole
Taffaiblissement,l’affaiblissement
Taide,l’aide
Taile,l’aile
tainille,famille
Taisant,faisant
talens,talons
Talens,talons
TAlgide,l’Algide
Tàme,l’âme
Tamour,l’amour
Tanat^re,Tanagre
Tancienne,l’ancienne
Tannée,l’année
tantor,tantôt
TApennin,l’Apennin
Tapprovisionnementde,l’approvisionnement de
Tarchaisme,l’archaïsme
Tarchéologie,l’archéologie
Tarchéologue,l’archéologue
Tarchitecture,l’architecture
Targile,l’argile
Targument,l’argument
Taristocratie,l’aristocratie
Tarmée,l’armée
Tart,l’art
Taspect,l’aspect
Tathena,l’Athéna
taugra,tanagra
taujours,toujours
Tbcmislocle,Thémistocle
TBRRB-CUITB,TERRE-CUITE
Tdgard,l’égard
tdmoignages,témoignages
tdmoigne,témoigne
Tdpoque,l’époque
tdte,tête
teclmi(|ue(1),technique (1)
tefle,telle
tei'ini nerai,terminerai
Teiiacotta-Relief,Terracotta-Relief
TeiTet,l’effet
têle,tête
temj)s,temps
templedela,temple de la
Temploi,l’emploi
tems,temps
Tems,temps
ten~es,terres
Tépoque,l’époque
Teriacottarelief,Terracottarelief
terminde,terminée
Terraeotten,Terracotten
terre-euite,terre-cuite
terre*cuite,terre-cuite
Terrncottas,Terracottas
terumique,céramique
Tesprit,l’esprit
tete,tête
tète,tête
tètes,têtes
tètes,,têtes,
tètes.,têtes.
Texige,l’exige
texlcs,textes
thdorie,théorie
thé,\tre
thé \tre,théâtre
théâ- tre,théâtre
Thistoire,l’histoire
Thydre,l’hydre
ti- tre,titre
tii'sor,trésor
Tiiitcrieur,l’intérieur
TILLE,VILLE
tilles,filles
Timage,l’image
Timagination,l’imagination
tin,fin
Tindif-,l’indif-
Tinfluence,l’influence
Tinfluenoe,l’influence
Tins-,l’ins-
Tinstinct,l’instinct
Tintroduction,l’introduction
Tiris,l’iris
TIRRRCUITR,TERRE-CUITE
Tirschfeld,Hirschfeld
Titalien,l’italien
TKHMKS,TERMES
tlfvons,devons
tlian,than
tliat,that
tlie,the
Tliistoire,l’histoire
Tlnstitut,l’Institut
TO^A€,TOME
Tobjet,l’objet
Tobscu-,l’obscu-
