forme_erronée,forme_correcte
architectoni-(jue,architectonique
Arcli,Arch
arcli,arch
arclr,arch
ardeoibe,ardente
arec,avec
ÂRGHÉ0L06iQ0SS,ARCHÉOLOGIQUES
arhilraire,arbitraire
arislocratiiiuc,aristocratique
Arislote,Aristote
aristcxTatiqiK',aristocratique
Arjnes,Armes
arl,art
arlicle,article
arls,arts
ARMORlAL,ARMORIAL
arristique,artistique
artisice,artifice
ase,vase
àse,à se
Asin,afin
àSolon,à Solon
asse/,assez
assur^ment,assurément
assurénuMil,assurément
Atale,Attale
Atcale,Attale
àthènes,Athènes
ATI,AUX
atissi,aussi
Atlalides,Attalides
atlcnlion,attention
attacbe,attache
attiqiie,attique
ATTlQIIES,ATTIQUES
au- tre,autre
au- tres,autres
au. tre,autre
au.v,aux
Aufènge,Anfänge
aujoiird'hui,aujourd’hui
aulrcmcnl,autrement
aulrcs,autres
aulre,autre
aulres,autres
auoir,avoir
Auoir,avoir
auoit,avoit
Auoit,avoit
aUoit,avoit
Aur/uste^,Auguste
autet,autel
auvel,autel
auvour,autour
aux([uels,auxquels
avaienl,avaient
avail,avait
avanc^,avancé
avanl,avant
Avcllino1,Avellino 1
avee,avec
aviinl,avant
avimn,aviron
aviron#,avirons
avnil,avait
ayantordonné,ayant ordonné
ba.salte,basalte
balaille,bataille
balaille,,bataille,
balaille.,bataille.
balailles,batailles
balailles,,batailles,
balailles.,batailles.
bàlimenls,bâtiments
bàlimeul,bâtiment
bàlimrnls,bâtiments
Baltcolus,Balteolus
Baltcus,Balteus
bar-bare,barbare
bas-rcliefs,bas-reliefs
bclb's,belles
beai/coup,beaucoup
Bernix-Arts,Beaux-Arts
Bibl(!,Bible
BibLiot^KApHiF,BIBLIOGRAPHIE
BIBLIOTHfeQUE,BIBLIOTHÈQUE
bicn,bien
bîle,bile
Birschfeld,Hirschfeld
bis- tre,bistre
bislorien,historien
bisloriens,historiens
ble,blé
blennorrhagie,blennorragie
Blennorrhagie,blennorragie
blennorrHagie,blennorragie
bleuâ. tre,bleuâtre
Bliimner,Blümner
bloe,bloc
BlSmner,Blümner
Blûmiier,Blümner
BN,EN
bo:'uf,boeuf
Boeckli,Bœckh
Bœckli,Bœckh
boeuf,bœuf
Boeuf,bœuf
Boi,Roi
bonliomie,bonhomie
bordees,bordées
Britis/i,British
Brmm,Brunn
BTATUKR,STATUES
btllimenls,bâtiments
Bul/etin,Bulletin
busies,bustes
bvpolbèse,hypothèse
c esl-à-dire,c’est-à-dire
c II ères,chères
C.ampana,Campana
C.lcmenle,Clemente
c'csl,c’est
C'cst,C’est
c'esl,c’est
c'esl-à-dire,c'est-à-dire
c'esl-a-Jircdes,c’est-à-dire des
c*était,c’était
c/ioi,r,choix
c^de,cède
c6te,côte
Cabircs,Cabires
cacheltes,cachettes
Cahincl,Cabinet
caladogue,catalogue
Capilolc,Capitole
caract^re,caractère
caract^riser,caractériser
caricns,cariens
cariière,carrière
Catnpan',Campana
Cboisy,Choisy
cci^^hes,couches
cddant,cédant
cdmmande,commande
cdramistes,céramistes
céde,cédé
cède;déiîniti-,cède; définiti-
cei|tre,centre
ceil,oeil
ceilainement,certainement
celiii-ci,celui-ci
cen- tre,centre
cenlral,central
centièm(>,centième
céramiqxte,céramique
cerlams,certains
cerlilude,certitude
cerndes,cernées
cesl,c’est
cetalimentpassait,cet aliment passait
cetre,cette
cetta,cette
cha(jue,chaque
Cha(jue,Chaque
chacfue,chaque
chai-geait,chargeait
Chalde'e,Chaldée
chapi.tre,chapitre
charpenle,charpente
chefsd'oeuvre,chefs d'oeuvre
cHel,on,effet, on
chillic,chiffre
Cholera-morbus,Choléra-morbus
Cholera-Morbus,Choléra-morbus
cholera-morbus,Choléra-morbus
ci-dcssus,Ci-dessus
ciéalion,création
cii -conslances,circonstances
ciiargé,chargé
cilé,cité
cimlre-amiral,contre-amiral
Cinciuante,Cinquante
cinlaises,cimaises
CINQUltIlE,CINQUIÈME
circonscril,circonscrit
circonslances,circonstances
cireulaire,circulaire
cireulaires,circulaires
cirur,coeur
cjunIiIés,qualités
CJuny,Cluny
cl,et
Cl^ones,Cléones
clement,Clément
Clement,Clément
Cli,Ch
cli.irpenles,charpentes
clia([ue,chaque
cliacune,chacune
Cliaiton,Charton
cliapilre,chapitre
Cliarlon,Charlon
Cliaron,Charon
Cliaron,,Charon,
cliarpenle,charpente
Cliarton,Charton
cliefs-d'o'uvre,chefs-d’oeuvre
clioi.v,choix
clirétienne,chrétienne
Cliypre,Chypre
cloî- tre,cloître
cluirpente,charpente
Clytcmnes- tre,Clytemnestre
cnhi net,cabinet
cnlégorie,catégorie
cnlever,enlever
cnlrc,entre
Cnnipana,Campana
co(|uilles,coquilles
co/npagnie,compagnie
CO^TUMK,COSTUME
coifTe,coiffe
coii-lenir,contenir
coiirliées,couchées
Coiisidcj-c,considère
coiisidérnlde,considérable
coiiuiu',comme
COITE,CUITE
colé,côté
côlés,côtés
collaliorateur,collaborateur
collecti,collection
Colliguon,Collignon
collnhorait,collaborait
color^es,colorées
coloriage^,coloriage
com- mence,commence
Com« ment,Comment
combal,combat
combat- tre,combattre
comblenl,comblent
comparunt,comparant
compl^tement,complètement
complélé,complété
completement,complètement
con- tre,contre
con(|uis,conquis
concou- rir,concourir
conde,Condé
Conde,Condé
Conduoteur,Conducteur
confiaiu-e,confiance
confrèrts,confrères
coniplèlemenl,complètement
Conipte,Compte
conlmlait,contentait
conlre-amiral,contre-amiral
conlrtMe,contrôle
connaî.tre,connaître
connailre,connaitre
connuissaienl,connaissaient
consciller,conseiller
consei-\ait,conservait
conservi"',conservé
considerable,considérable
considerables,considérables
considerant,considérant
Considerant,considérant
consideration,considération
considerations,considérations
consideré,considéré
considerée,considérée
considerer,considérer
considérnldemenl,considérablement
conslilueiil,constituent
conslruclions,constructions
contest^,contesté
contiscation,confiscation
contrrjle,contrôle
conven-lion,convention
convercle,couvercle
converte,couverte
Corinthc,Corinthe
correspondie,correspondre
corrigei-,corriger
cou Ire-amiral,contre-amiral
cou- rir,courir
coUaliorer,collaborer
coUines,collines
coulees,coulées
coup.Lesouvriers,coup. Les ouvriers
courarit,courant
courroiè,courroie
couvorte,couverte
couvre.joinl,couvre-joint
cp'il,qu’il
cpi',qu’
cpie,que
cpii,qui
Crèle,Crète
Crèli;,Crète
crélois,crétois
creusd,creusé
crili((ue,critique
crini^re,crinière
criti(jue,critique
croil,croit
croiri',croire
CsbcuIus,Cœculus
Cseculus,Cœculus
csl,est
cst,est
Ct;tte,cette
ctre,être
cuile,cuite
cuiles,cuites
cùlé,côté
cunnne,comme
cxnminanl,examinant
d cludier,d’étudier
d.ms,dans
d'.\théna,d’Athéna
d'.Mfred,d’Alfred
D'&THlNES,D’ATHÈNES
d'a{>rès,d’après
d'admellrc,d’admettre
d'Alhéna,d’Athéna
d'Alhènes,d’Athènes
d'Alhùnes,d’Athènes
d'allribuer,d’attribuer
d'Allu-nes^,d’Athènes
d'Amalthée(9).DansPindare,d'Amalthée (9). Dans Pindare
d'amélioralion,d’amélioration
d'Anlicyre,d’Anticyre
D'apr^s,D’après
d'ar^,d’art
D'ARCH^OLOGIE,D’ARCHÉOLOGIE
D'ARGENTRENCONTRE,D'ARGENT RENCONTRE
d'Arislojdiane,d’Aristophane
d'Arislophanc,d’Aristophane
d'Ath^nes,d’Athènes
d'Ath^nM,d’Athènes
d'aTHÈNES,D’ATHÈNES
D'ATII ÈiNES,D’ATHÈNES
d'Atliônos,d’Athènes
D'aulre,D’autre
d'aulres,d’autres
d'cnCancc,d’enfance
d'ctonnement,d’étonnement
d'dt^,d’été
d'e.\emplaires,d’exemplaires
d'ébau-clier,d’ébaucher
d'em'oi,d’envoi
d'Esculapc,d’Esculape
d'HerakIcion,d’Héraklion
d'ilalic,d’Italie
d'ime,d’une
d'imporlancc,d’importance
d'insisler,d’insister
d'int^r^t,d’intérêt
d'jiillenrs,d’ailleurs
d'ornementsen,d’ornements en
d’)ètre,d’être
d’Alhcncs,d’Athènes
d’Alhèncs,d’Athènes
D’ANcIES,D’ANCIEN
d’appli<|uera,d’appliquer à
d’Artdmis,d’Artémis
d’au- tre,d’autre
d’au- tres,d’autres
d’ê- tre,d’être
d’ê’tre,d’être
d’encou- rir,d’encourir
d’enlon-noir,d’entonnoir
d’ètre,d’être
d’intliger,d’infliger
d’nne,d’une
d’ofl’rir,d’offrir
d’oti,d’où
d’urie,d’une
d"érudits,d’érudits
d*A4hênes,d’Athènes
d*Antium;,d’Antium;
d*après,d’après
d*Aricia,d’Aricia
d*étre,d’être
d*ètre,d’être
d*exercer,d’exercer
D*HIBT01RS,D’HISTOIRE
d*ornements,d’ornements
d^Éleusis,d’Éleusis
d^livr^s,délivrés
d^placent,déplacent
d^s,des
d^ves,élèves
DaDS,Dans
DAHCHÉOLOGUKS,D’ARCHÉOLOGUES
DAllKMBERG,DAREMBERG
dalo,date
dansla,dans la
Dansla,dansla
dansles,dans les
Dansles,dans les
Darcmberg,Daremberg
Darembeig,Daremberg
Dartliès,Darthès
davanlafo,davantage
DB,DE
dcBœckh1,de Bœckh 1
dcDodwell,de Dodwell
dclatantes,éclatantes
dcoles,écoles
dçs,des
ddbuts,débuts
ddcouvertes,découvertes
ddcouvre,découvre
ddfaillances,défaillances
ddfauts,défauts
ddfendre,défendre
ddfendu,défendu
ddfinitif,définitif
ddja,déjà
Ddlos,Délos
ddtachent,détachent
ddvots,dévots
dé'jà,déjà
de« bout,debout
de« venir,devenir
débals,débats
débarquai!,débarquait
debarrasser,débarrasser
debiteur,débiteur
debris,débris
debut,début
déc'sil's,décisifs
déc/^u-,décou-
decadence,décadence
Decadence,décadence
decembre,décembre
Decembre,décembre
decès,décès
Decès,décès
decharge,décharge
dechéance,déchéance
decider,décider
Déclara,déclara
Déclarations,déclarations
Déclare,déclare
Déclarée,déclarée
declarés,déclarés
dècoHiverts»,découvertes
décorès,décorés
décou^vertes,découvertes
découverle,découverte
decouvert,découvert
decouverte,découverte
decouvre,découvre
décrivenl,décrivent
deCùme,de Cume
dédiielimis,déductions
déeoiivertes,découvertes
déeril,décrit
defunt,défunt
degoût,dégoût
dejà,déjà
dejiuis,depuis
délail,détail
délails,détails
delais,délais
Delauiiay,Delaunay
delibération,délibération
delibérations,délibérations
delibérer,délibérer
delire,délire
delit,délit
delits,délits
delivrance,délivrance
delivrée,délivrée
delivrer,délivrer
Déloe,Délos
delord,de lord
demarche,démarche
demon,démon
demontré,démontré
demontrer,démontrer
dénomina-lion,dénomination
déoouverle,découverte
depart,départ
departement,département
depasser,dépasser
depend,dépend
dependant,dépendant
dependent,dépendent
dePenses,dépenses
deposition,déposition
Depuisqiie,Depuis que
Deputés,députés
der/iin-,dernier
derrièreThésée,derrière Thésée
desaire,défaire
desastres,des astres
deserts,déserts
desespoir,désespoir
designation,désignation
designe,désigne
designé,désigné
designée,désignée
designées,désignées
designés,désignés
desir,désir
Desir,désir
desire,désire
desirer,désirer
désirnble,désirable
desirs,désirs
Desirs,désirs
deSolon",de Solon
desoncôté,de son côté
desordres,désordres
desormais,désormais
desPropylées,des Propylées
details,détails
detention,détention
determiné,détermine
determinée,déterminée
determiner,déterminer
detourner,détourner
detruit,détruit
deu.x,deux
deug,deux
Deux^Mondes,Deux-Mondes
deuxvilles,deux villes
devail,devait
deveoflie,devenue
deVlnst,de l’Inst
devouement,dévouement
dezèleetplusdemaladresse,de zèle et plus de maladresse
dgalement,également
diamè- tre,diamètre
Dicliiiiintiire,Dictionnaire
Diclinnnaire,Dictionnaire
Diclionary,Dictionary
Diclioniiaire,Dictionnaire
diclionnaire,dictionnaire
Diclionnairi',Dictionnaire
Dictionnit're,Dictionnaire
DicTiow aiim:,Dictionnaire:
Dictirmmiire,Dictionnaire
DIDIEH,DIDIER
diËFérents,différents
DiERKs,Dierks
différcnls,différents
différencialions,différenciations
diflicullos,difficultés
diftîcile,difficile
diie,dite
Diirpfeld,Dörpfeld
dil-il,Dit-il
dil'licile,difficile
dilïicilc,difficile
dilléraienl,différaient
dilTérents,différents
diminue]',diminuer
Diocléticn,Dioclétien
dirccle,directe
direc« teur,directeur
direefemenl,directement
DiRKCTKiiR,DIRECTEUR
disciplini!,discipline
dislance,distance
dispaiu,disparu
disparuesj,disparues
disposiliou,disposition
ditlîculté,difficulté
ditYérence,différence
divertissementqu'ils,divertissement qu'ils
dk,de
DK,DE
Dl,DE
dnns,dans
do,de
documenl,document
documenls,documents
Dodwcll',Dodwell
doeiinienls,documents
doeunieiits,documents
doeunients,documents
doil,doit
doimé,donné
dom&ine,domaine
don!,dont
done,donc
donl,dont
dord,doré
dordes,dorées
dossc-lels,osselets
doule,doute
douleureuse,douloureuse
douleureux,douloureux
douze,Conze
dquar-,équar-
draclimes,drachmes
drapdes,drapées
droiI.,droit
droile,droite
dt'jà,déjà
dtait,était
dtapes,étapes
DTCTIONN \II{I,DICTIONNAIRE
dtiligncr,d’aligner
dü,du
DuHN,Duhn
Dumnlicrg,Daremberg
DumonI,Dumont
Dumonl,Dumont
DUTUITLA,DUTUIT LA
Dynaftie,Dynastie
dynaftie,Dynastie
dyuasli(|ue,dynastique
E,F
e'esL,c’est
e»,en
e(,et
é/é,été
Ea,en
EA,en
eA,en
easuite,ensuite
éb^vée,élevée
échtipptiil,échappait
eclair^,éclairé
Ecole,École
ecole,école
Ecos,Eros
ĕcrit,écrit
édilice,édifice
édisice,édifice
editeur,éditeur
editeurs,éditeurs
EDMO.ND,EDMOND
Edouard,Édouard
Ee,ce
EE,ce
eE,ce
eela,cela
éeliouail,échouait
ees,ces
éetat,éclat
efprit,esprit
Efprit,esprit
égjpto-phénîcien,égypto-phénicien
Eglise,Église
eglise,Église
Egypte,Égypte
egypte,Égypte
egyptiens,égyptiens
éhil,état
éîait,était
einture,peinture
eintures,peintures
éj)0(jue,époque
el,et
élabli,établi
élages,étages
élaienl,étaient
élaient,étaient
élail,était
élal,état
élaldil,établit
élanl,étant
elc.,etc.
élé,été
élé-menls,éléments
élege,éloge
elfel,effet
elfet,effet
èli'(',être
elie,elle
elïilé,effilé
Elisabeth,Élisabeth
ÉLivK,ÉLÈVE
ellel,effet
ellemême,elle-même
Ellemême,elle-même
élnienl,étaient
èlrc,être
êlrc!,être
èlre,être
Élrurie,Étrurie
élrusi/Jie,étrusque
elTort,effort
élude,étude
éludes,études
éludié,étudié
élyniologics,étymologies
émérile,émérite
émif^ra,émigra
Emmandil,Emmanuel
empleyer,employer
EMPRUNTE!: S,EMPRUNTÉES
en- tre,entre
en. tre,entre
Encyclojiédies,Encyclopédies
enfantsurlachèvre,enfant sur la chèvre
Ënfm,Enfin
enfuite,ensuite
Enfuite,ensuite
Enlin,Enfin
enlraif,entrait
enlrelenaienl,entretenaient
enlreprenail,entreprenait
enluminds,enluminés
enscndjlc,ensemble
enser,enfer
ensin,enfin
ensuilc,ensuite
entahlement,entablement
entevant,enlevant
entranl,entrant
eoiicoiirenl,concourent
EOLLEC1 ION,COLLECTION
eollections,collections
eomballail,combattait
eomme,comme
eompli((uée,compliquée
eomposenl,composent
Eond,Fond
eoniplt',compte
eonlre-amiral,Contre-amiral
eonnaîlre,connaître
eonsi-déi'idile,considérable
eonslruelions,constructions
Eorme,Forme
Eouqué,Fouqué
eousidévahles,considérables
eouummlanl,commentant
ephèbe,éphèbe
ephore s,éphores
épidemie,épidémie
épidemies,épidémies
épidemique,épidémique
épo(jue,époque
époipie,époque
équ^tre.,équestre.
eraignail,craignait
erémalion,crémation
eros,éros
erres,terres
érudil,érudit
érudils,érudits
es(,est
eschichte,Geschichte
esl,est
esL,est
Esl,Est
Esl-cc,Est-ce
essenliellcmenl,essentiellement
essenlielles,essentielles
est-àdire,est-à-dire
està-dire,est-à-dire
esth^tique,esthétique
esthdtique,esthétique
et^,été
étail,était
etait,était
étaitadministré,était administré
etat,état
Etats,États
etats,États
etd,été
etd'ossements,et d’ossements
etde,et de
etDe,et de
Etde,et de
ete,été
EtE,été
Eté,été
eté,été
êti*e,être
Etienne,Étienne
ETIENNE,Étienne
étiolegie,étiologie
etles,et les
etlt-il,eût-il
etos,clos
etqueson,et que son
etre,être
ètre,être
Étrusijue,Étrusque
ÉTtJDB,ÉTUDE
ÉTUDB,ÉTUDE
ETUDF,ÉTUDE
etudfe,étude
eu.v,eux
Euiope,Europe
eulre,entre
eumbal,combat
eux-m^mes,eux-mêmes
évoluai!,évoluait
eVs(,c’est
exacte« tement,exactement
excellenle,excellente
EXCOBSIQNS,EXCURSIONS
exemplatres,exemplaires
exenq^lC,exemple
exercd,exercé
exigeai!,exigeait
exigi'ons,exigeons
exislanls,existants
exnel,exact
expérinienlés,expérimentés
exposd,exposé
f^te,fête
f|uc,que
fa^ons,façons
faanilos,grandes
fabri(iu('s,fabriqués
fabricatiini,fabrication
fabriquai!,fabriquait
fafuilles,familles
faiie,faire
fail,fait
failagc,faitage
failières,faîtières
faiteparThéodotosd'un,faite par Théodotos d’un
Fart,l’art
fart,l’art
faui,faut
Fbbmiqui,Fernique
FÉcole,l’École
fégypte,l’égypte
fêle,fête
félégance,l’élégance
fémme,femme
fenê. tre,fenêtre
fépaule,l’épaule
férable,l’érable
ferre-cuite,terre-cuite
ferres,terres
Ferres,Terres
ferres-cuites,,terres-cuites,
fétc,fête
fèuilles,feuilles
fftfllt'nvn,Hellenen
Fhontox,Fronton
fiaîtes,faite
fiel les-,belles-
fiRÉCB,GRÈCE
flalteuse,flatteuse
flanqué.de,flanqué de
flans,dans
flansla,dans la
foetus,fœtus
Foetus,fœtus
Foeuvre,l’oeuvre
foi'ces,forces
fondamenlal,fondamental
fonl,font
fonth'',fondé
for/né,formé
Forifice,l’orifice
forinuli'r,formuler
FOTTFER,POTTIER
fout,font
fouvent,souvent
fragnienl,fragment
française^,françaises
Franco,France
FRANG&n,FRANÇAISE
Frangalaos,Française
fU|,fut
funèpres,funèbres
fur,für
furnom,surnom
furnommé,surnommé
FuRTwÄRGLEn,Furtwängler
Fuuquiéres,Fouquières
G raser,Graser
G1GANT0- MACHIE,GIGANTOMACHIE
ganche,gauche
GARTAULT,CARTAULT
Garthage,Carthage
Gatal.ofthe,Catal. of the
gaucho,gauche
Gazelle,Gazette
gcometrisciien,geometrischen
Ge,Ce
genre,c’esl-à-dirc,genre, c’est-à-dire
géof/rapJiie,géographie
geomé-triques,géométriques
géomélrique,géométrique
géomélrupies,géométriques
Geux,Ceux
Ghaldée,Chaldée
gi(jue,gique
Gicéron,Cicéron
gigantes(|ue,gigantesque
gitjiie,gique
Giuscppe,Giuseppe
Gl- GANTOMACHIE.,GIGANTOMACHIE.
Gnzette,Gazette
GOLLtoB,COLLÈGE
Golse,Golfe
goni,goût
Götterversamnilung,Götterversammlung
Gr^ce,Grèce
gra'car,graecar
gra/id,grand
gràber,Gräber
graïul,grand
Grascr,Graser
Gratter,Gräber
Gravièrc,Gravière
Grdce,Grèce
grec(]ues,grecques
grec(|ues,grecques
grec(jue,grecque
grec0ie,grecque
grece,Grèce
Grece,Grèce
Gréce,Grèce
greceten,grec et en
